{'Architecture': 'CBOW', 'Dimension': 50, 'Window': 2, 'Negative Samples': 5, 'Vocab Size': 11300, 'Time (s)': 0.63}
{'Architecture': 'CBOW', 'Dimension': 50, 'Window': 2, 'Negative Samples': 10, 'Vocab Size': 11300, 'Time (s)': 0.84}
{'Architecture': 'CBOW', 'Dimension': 50, 'Window': 5, 'Negative Samples': 5, 'Vocab Size': 11300, 'Time (s)': 0.55}
{'Architecture': 'CBOW', 'Dimension': 50, 'Window': 5, 'Negative Samples': 10, 'Vocab Size': 11300, 'Time (s)': 0.74}
{'Architecture': 'CBOW', 'Dimension': 50, 'Window': 10, 'Negative Samples': 5, 'Vocab Size': 11300, 'Time (s)': 0.58}
{'Architecture': 'CBOW', 'Dimension': 50, 'Window': 10, 'Negative Samples': 10, 'Vocab Size': 11300, 'Time (s)': 0.8}
{'Architecture': 'CBOW', 'Dimension': 100, 'Window': 2, 'Negative Samples': 5, 'Vocab Size': 11300, 'Time (s)': 0.57}
{'Architecture': 'CBOW', 'Dimension': 100, 'Window': 2, 'Negative Samples': 10, 'Vocab Size': 11300, 'Time (s)': 0.83}
{'Architecture': 'CBOW', 'Dimension': 100, 'Window': 5, 'Negative Samples': 5, 'Vocab Size': 11300, 'Time (s)': 0.62}
{'Architecture': 'CBOW', 'Dimension': 100, 'Window': 5, 'Negative Samples': 10, 'Vocab Size': 11300, 'Time (s)': 0.86}
{'Architecture': 'CBOW', 'Dimension': 100, 'Window': 10, 'Negative Samples': 5, 'Vocab Size': 11300, 'Time (s)': 0.65}
{'Architecture': 'CBOW', 'Dimension': 100, 'Window': 10, 'Negative Samples': 10, 'Vocab Size': 11300, 'Time (s)': 0.91}
{'Architecture': 'Skip-gram', 'Dimension': 50, 'Window': 2, 'Negative Samples': 5, 'Vocab Size': 11300, 'Time (s)': 1.03}
{'Architecture': 'Skip-gram', 'Dimension': 50, 'Window': 2, 'Negative Samples': 10, 'Vocab Size': 11300, 'Time (s)': 1.53}
{'Architecture': 'Skip-gram', 'Dimension': 50, 'Window': 5, 'Negative Samples': 5, 'Vocab Size': 11300, 'Time (s)': 1.48}
{'Architecture': 'Skip-gram', 'Dimension': 50, 'Window': 5, 'Negative Samples': 10, 'Vocab Size': 11300, 'Time (s)': 2.4}
{'Architecture': 'Skip-gram', 'Dimension': 50, 'Window': 10, 'Negative Samples': 5, 'Vocab Size': 11300, 'Time (s)': 2.1}
{'Architecture': 'Skip-gram', 'Dimension': 50, 'Window': 10, 'Negative Samples': 10, 'Vocab Size': 11300, 'Time (s)': 3.7}
{'Architecture': 'Skip-gram', 'Dimension': 100, 'Window': 2, 'Negative Samples': 5, 'Vocab Size': 11300, 'Time (s)': 0.9}
{'Architecture': 'Skip-gram', 'Dimension': 100, 'Window': 2, 'Negative Samples': 10, 'Vocab Size': 11300, 'Time (s)': 1.47}
{'Architecture': 'Skip-gram', 'Dimension': 100, 'Window': 5, 'Negative Samples': 5, 'Vocab Size': 11300, 'Time (s)': 1.68}
{'Architecture': 'Skip-gram', 'Dimension': 100, 'Window': 5, 'Negative Samples': 10, 'Vocab Size': 11300, 'Time (s)': 3.03}
{'Architecture': 'Skip-gram', 'Dimension': 100, 'Window': 10, 'Negative Samples': 5, 'Vocab Size': 11300, 'Time (s)': 2.39}
{'Architecture': 'Skip-gram', 'Dimension': 100, 'Window': 10, 'Negative Samples': 10, 'Vocab Size': 11300, 'Time (s)': 4.43}
